id,terrestrial_date,sol,ls,month,min_temp,max_temp,pressure,atmo_opacity,min_temp_F,max_temp_F
693,9/15/2014,750,196,Month 7,-72,4,796,Sunny,-97.6,39.2
692,9/14/2014,749,195,Month 7,-73,3,794,Sunny,-99.4,37.4
690,9/13/2014,748,195,Month 7,-71,5,791,Sunny,-95.8,41
691,9/12/2014,747,194,Month 7,-73,6,789,Sunny,-99.4,42.8
688,9/11/2014,746,194,Month 7,-76,2,788,Sunny,-104.8,35.6
689,9/10/2014,745,193,Month 7,-74,1,787,Sunny,-101.2,33.8
687,9/9/2014,744,192,Month 7,-75,-2,786,Sunny,-103,28.4
686,9/8/2014,743,192,Month 7,-72,0,786,Sunny,-97.6,32
684,9/7/2014,742,191,Month 7,-72,0,784,Sunny,-97.6,32
683,9/6/2014,741,191,Month 7,-70,-1,784,Sunny,-94,30.2
685,9/5/2014,740,190,Month 7,-76,-2,782,Sunny,-104.8,28.4
682,9/4/2014,739,189,Month 7,-77,-1,779,Sunny,-106.6,30.2
681,9/3/2014,738,189,Month 7,-75,0,778,Sunny,-103,32
680,9/2/2014,737,188,Month 7,-74,3,777,Sunny,-101.2,37.4
679,9/1/2014,736,188,Month 7,-76,0,776,Sunny,-104.8,32
678,8/31/2014,735,187,Month 7,-73,1,776,Sunny,-99.4,33.8
675,8/30/2014,734,186,Month 7,-73,-3,776,Sunny,-99.4,26.6
674,8/29/2014,733,186,Month 7,-74,-2,773,Sunny,-101.2,28.4
677,8/28/2014,732,185,Month 7,-75,-8,773,Sunny,-103,17.6
673,8/27/2014,731,185,Month 7,-75,-4,771,Sunny,-103,24.8
676,8/26/2014,730,184,Month 7,-76,3,770,Sunny,-104.8,37.4
672,8/25/2014,729,183,Month 7,-75,3,768,Sunny,-103,37.4
670,8/24/2014,728,183,Month 7,-74,1,766,Sunny,-101.2,33.8
671,8/23/2014,727,182,Month 7,-76,1,766,Sunny,-104.8,33.8
668,8/22/2014,726,182,Month 7,-75,1,766,Sunny,-103,33.8
669,8/21/2014,725,181,Month 7,-73,-5,764,Sunny,-99.4,23
667,8/19/2014,724,181,Month 7,-74,1,763,Sunny,-101.2,33.8
666,8/18/2014,723,180,Month 7,-73,2,761,Sunny,-99.4,35.6
665,8/17/2014,722,179,Month 6,-74,1,760,Sunny,-101.2,33.8
664,8/16/2014,721,179,Month 6,-73,-5,761,Sunny,-99.4,23
663,8/15/2014,720,178,Month 6,-74,-1,760,Sunny,-101.2,30.2
662,8/14/2014,719,178,Month 6,-77,-1,758,Sunny,-106.6,30.2
660,8/13/2014,718,177,Month 6,-77,3,757,Sunny,-106.6,37.4
661,8/12/2014,717,176,Month 6,-76,5,756,Sunny,-104.8,41
659,8/11/2014,716,176,Month 6,-75,2,755,Sunny,-103,35.6
657,8/10/2014,715,175,Month 6,-73,2,755,Sunny,-99.4,35.6
655,8/9/2014,714,175,Month 6,-76,2,754,Sunny,-104.8,35.6
656,8/8/2014,713,174,Month 6,-76,-12,754,Sunny,-104.8,10.4
658,8/7/2014,712,174,Month 6,-77,-10,752,Sunny,-106.6,14
654,8/6/2014,711,173,Month 6,-75,-11,751,Sunny,-103,12.2
653,8/5/2014,710,172,Month 6,-77,-12,751,Sunny,-106.6,10.4
652,8/4/2014,709,172,Month 6,-73,-11,750,Sunny,-99.4,12.2
649,8/3/2014,708,171,Month 6,-76,1,749,Sunny,-104.8,33.8
651,8/2/2014,707,171,Month 6,-76,1,749,Sunny,-104.8,33.8
650,8/1/2014,706,170,Month 6,-76,0,748,Sunny,-104.8,32
648,7/31/2014,705,170,Month 6,-76,-9,746,Sunny,-104.8,15.8
647,7/30/2014,704,169,Month 6,-75,-5,747,Sunny,-103,23
646,7/29/2014,703,169,Month 6,-75,-6,747,Sunny,-103,21.2
645,7/28/2014,702,168,Month 6,-76,-2,745,Sunny,-104.8,28.4
644,7/27/2014,701,167,Month 6,-77,-1,745,Sunny,-106.6,30.2
643,7/26/2014,700,167,Month 6,-75,-2,745,Sunny,-103,28.4
642,7/25/2014,699,166,Month 6,-76,-2,744,Sunny,-104.8,28.4
641,7/24/2014,698,166,Month 6,-77,-3,743,Sunny,-106.6,26.6
640,7/23/2014,697,165,Month 6,-74,-4,743,Sunny,-101.2,24.8
639,7/22/2014,696,165,Month 6,-75,-2,743,Sunny,-103,28.4
638,7/21/2014,695,164,Month 6,-76,-1,741,Sunny,-104.8,30.2
635,7/20/2014,694,164,Month 6,-75,-1,740,Sunny,-103,30.2
636,7/19/2014,693,163,Month 6,-76,-2,741,Sunny,-104.8,28.4
637,7/18/2014,692,162,Month 6,-76,-4,742,Sunny,-104.8,24.8
634,7/17/2014,691,162,Month 6,-76,-8,741,Sunny,-104.8,17.6
633,7/16/2014,690,161,Month 6,-77,-7,741,Sunny,-106.6,19.4
632,7/15/2014,689,161,Month 6,-76,-6,742,Sunny,-104.8,21.2
631,7/14/2014,688,160,Month 6,-77,-5,741,Sunny,-106.6,23
630,7/12/2014,687,160,Month 6,-77,-2,739,Sunny,-106.6,28.4
629,7/11/2014,686,159,Month 6,-76,-4,738,Sunny,-104.8,24.8
628,7/10/2014,685,159,Month 6,-77,-2,740,Sunny,-106.6,28.4
627,7/9/2014,684,158,Month 6,-75,-9,741,Sunny,-103,15.8
626,7/8/2014,683,158,Month 6,-79,-7,741,Sunny,-110.2,19.4
625,7/7/2014,682,157,Month 6,-77,-16,739,Sunny,-106.6,3.2
623,7/6/2014,681,156,Month 6,-79,-17,738,Sunny,-110.2,1.4
620,7/5/2014,680,156,Month 6,-76,-15,740,Sunny,-104.8,5
624,7/4/2014,679,155,Month 6,-77,-13,738,Sunny,-106.6,8.6
621,7/3/2014,678,155,Month 6,-77,-17,739,Sunny,-106.6,1.4
622,7/2/2014,677,154,Month 6,-78,-12,737,Sunny,-108.4,10.4
619,7/1/2014,676,154,Month 6,-80,-17,738,Sunny,-112,1.4
618,6/30/2014,675,153,Month 6,-80,-12,740,Sunny,-112,10.4
617,6/29/2014,674,153,Month 6,-80,-17,739,Sunny,-112,1.4
616,6/28/2014,673,152,Month 6,-78,-16,738,Sunny,-108.4,3.2
615,6/27/2014,672,152,Month 6,-78,-16,739,Sunny,-108.4,3.2
614,6/26/2014,671,151,Month 6,-79,-15,740,Sunny,-110.2,5
612,6/25/2014,670,151,Month 6,-79,-7,737,Sunny,-110.2,19.4
613,6/24/2014,669,150,Month 6,-84,-4,735,Sunny,-119.2,24.8
611,6/23/2014,668,150,Month 6,-75,-4,734,Sunny,-103,24.8
606,6/22/2014,667,149,Month 5,-76,-7,736,Sunny,-104.8,19.4
608,6/21/2014,666,148,Month 5,-77,-7,736,Sunny,-106.6,19.4
610,6/20/2014,665,148,Month 5,-78,-4,735,Sunny,-108.4,24.8
607,6/19/2014,664,147,Month 5,-78,-8,732,Sunny,-108.4,17.6
609,6/18/2014,663,147,Month 5,-77,-10,734,Sunny,-106.6,14
605,6/17/2014,662,146,Month 5,-77,-11,735,Sunny,-106.6,12.2
604,6/16/2014,661,146,Month 5,-76,-10,735,Sunny,-104.8,14
601,6/15/2014,660,145,Month 5,-78,-12,735,Sunny,-108.4,10.4
603,6/14/2014,659,145,Month 5,-77,-14,738,Sunny,-106.6,6.8
602,6/13/2014,658,144,Month 5,-79,-10,739,Sunny,-110.2,14
600,6/12/2014,657,144,Month 5,-79,-6,739,Sunny,-110.2,21.2
599,6/11/2014,656,143,Month 5,-80,-13,740,Sunny,-112,8.6
598,6/10/2014,655,143,Month 5,-77,-14,741,Sunny,-106.6,6.8
597,6/9/2014,654,142,Month 5,-79,-8,742,Sunny,-110.2,17.6
596,6/8/2014,653,142,Month 5,-80,-13,744,Sunny,-112,8.6
594,6/7/2014,652,141,Month 5,-79,-12,745,Sunny,-110.2,10.4
595,6/5/2014,651,141,Month 5,-80,-8,743,Sunny,-112,17.6
593,6/4/2014,650,140,Month 5,-80,-11,743,Sunny,-112,12.2
592,6/3/2014,649,140,Month 5,-79,-14,745,Sunny,-110.2,6.8
591,6/2/2014,648,139,Month 5,-80,-20,746,Sunny,-112,-4
590,6/1/2014,647,139,Month 5,-79,-19,746,Sunny,-110.2,-2.2
587,5/31/2014,646,138,Month 5,-81,-16,746,Sunny,-113.8,3.2
589,5/30/2014,645,138,Month 5,-81,-8,746,Sunny,-113.8,17.6
588,5/29/2014,644,137,Month 5,-80,-10,748,Sunny,-112,14
586,5/28/2014,643,137,Month 5,-80,-14,748,Sunny,-112,6.8
585,5/27/2014,642,136,Month 5,-80,-19,749,Sunny,-112,-2.2
584,5/26/2014,641,136,Month 5,-81,-19,749,Sunny,-113.8,-2.2
583,5/25/2014,640,135,Month 5,-81,-11,750,Sunny,-113.8,12.2
581,5/24/2014,639,135,Month 5,-80,-16,750,Sunny,-112,3.2
579,5/23/2014,638,134,Month 5,-80,-12,751,Sunny,-112,10.4
580,5/22/2014,637,134,Month 5,-80,-18,752,Sunny,-112,-0.4
582,5/21/2014,636,133,Month 5,-81,-19,752,Sunny,-113.8,-2.2
578,5/20/2014,635,133,Month 5,-82,-10,754,Sunny,-115.6,14
577,5/19/2014,634,132,Month 5,-82,-20,753,Sunny,-115.6,-4
574,5/18/2014,633,132,Month 5,-81,-15,754,Sunny,-113.8,5
575,5/17/2014,632,131,Month 5,-79,-18,755,Sunny,-110.2,-0.4
576,5/16/2014,631,131,Month 5,-81,-18,756,Sunny,-113.8,-0.4
573,5/15/2014,630,130,Month 5,-82,-20,757,Sunny,-115.6,-4
572,5/14/2014,629,130,Month 5,-84,-24,759,Sunny,-119.2,-11.2
571,5/13/2014,628,129,Month 5,-81,-23,759,Sunny,-113.8,-9.4
570,5/12/2014,627,129,Month 5,-82,-19,759,Sunny,-115.6,-2.2
567,5/11/2014,626,128,Month 5,-82,-21,760,Sunny,-115.6,-5.8
569,5/10/2014,625,128,Month 5,-81,-24,761,Sunny,-113.8,-11.2
568,5/9/2014,624,127,Month 5,-82,-19,762,Sunny,-115.6,-2.2
566,5/8/2014,623,127,Month 5,-83,-21,763,Sunny,-117.4,-5.8
565,5/7/2014,622,126,Month 5,-84,-19,763,Sunny,-119.2,-2.2
564,5/6/2014,621,126,Month 5,-82,-21,765,Sunny,-115.6,-5.8
563,5/5/2014,620,125,Month 5,-83,-19,765,Sunny,-117.4,-2.2
560,5/4/2014,619,125,Month 5,-82,-22,766,Sunny,-115.6,-7.6
562,5/3/2014,618,124,Month 5,-83,-23,769,Sunny,-117.4,-9.4
561,5/2/2014,617,124,Month 5,-84,-19,769,Sunny,-119.2,-2.2
559,5/1/2014,616,123,Month 5,-82,-19,769,Sunny,-115.6,-2.2
558,4/29/2014,615,123,Month 5,-83,-23,771,Sunny,-117.4,-9.4
557,4/28/2014,614,122,Month 5,-82,-19,772,Sunny,-115.6,-2.2
556,4/27/2014,613,122,Month 5,-84,-21,773,Sunny,-119.2,-5.8
553,4/26/2014,612,121,Month 5,-85,-27,774,Sunny,-121,-16.6
555,4/25/2014,611,121,Month 5,-84,-23,775,Sunny,-119.2,-9.4
554,4/24/2014,610,120,Month 5,-85,-20,776,Sunny,-121,-4
552,4/23/2014,609,120,Month 5,-84,-20,777,Sunny,-119.2,-4
551,4/22/2014,608,119,Month 4,-85,-21,777,Sunny,-121,-5.8
550,4/21/2014,607,119,Month 4,-83,-28,779,Sunny,-117.4,-18.4
549,4/20/2014,606,118,Month 4,-84,-27,780,Sunny,-119.2,-16.6
547,4/19/2014,605,118,Month 4,-83,-22,781,Sunny,-117.4,-7.6
546,4/18/2014,604,118,Month 4,-84,-17,782,Sunny,-119.2,1.4
548,4/17/2014,603,117,Month 4,-83,-15,783,Sunny,-117.4,5
545,4/16/2014,602,117,Month 4,-82,-22,784,Sunny,-115.6,-7.6
544,4/15/2014,601,116,Month 4,-82,-25,785,Sunny,-115.6,-13
541,4/14/2014,600,116,Month 4,-81,-25,787,Sunny,-113.8,-13
543,4/13/2014,599,115,Month 4,-84,-20,788,Sunny,-119.2,-4
542,4/12/2014,598,115,Month 4,-84,-25,787,Sunny,-119.2,-13
540,4/11/2014,597,114,Month 4,-84,-26,790,Sunny,-119.2,-14.8
539,4/10/2014,596,114,Month 4,-82,-24,791,Sunny,-115.6,-11.2
538,4/9/2014,595,113,Month 4,-83,-25,792,Sunny,-117.4,-13
537,4/8/2014,594,113,Month 4,-83,-22,793,Sunny,-117.4,-7.6
536,4/7/2014,593,112,Month 4,-83,-23,795,Sunny,-117.4,-9.4
534,4/6/2014,592,112,Month 4,-83,-26,795,Sunny,-117.4,-14.8
533,4/5/2014,591,111,Month 4,-82,-26,795,Sunny,-115.6,-14.8
535,4/4/2014,590,111,Month 4,-82,-26,797,Sunny,-115.6,-14.8
531,4/3/2014,589,110,Month 4,-85,-27,798,Sunny,-121,-16.6
532,4/2/2014,588,110,Month 4,-84,-24,799,Sunny,-119.2,-11.2
530,4/1/2014,587,109,Month 4,-85,-28,801,Sunny,-121,-18.4
529,3/31/2014,586,109,Month 4,-82,-24,802,Sunny,-115.6,-11.2
527,3/30/2014,585,109,Month 4,-83,-26,802,Sunny,-117.4,-14.8
528,3/29/2014,584,108,Month 4,-82,-25,804,Sunny,-115.6,-13
526,3/28/2014,583,108,Month 4,-82,-27,806,Sunny,-115.6,-16.6
525,3/27/2014,582,107,Month 4,-84,-27,807,Sunny,-119.2,-16.6
524,3/26/2014,581,107,Month 4,-84,-28,808,Sunny,-119.2,-18.4
523,3/25/2014,580,106,Month 4,-83,-24,810,Sunny,-117.4,-11.2
522,3/24/2014,579,106,Month 4,-82,-22,811,Sunny,-115.6,-7.6
521,3/22/2014,578,105,Month 4,-83,-23,812,Sunny,-117.4,-9.4
519,3/21/2014,577,105,Month 4,-84,-27,813,Sunny,-119.2,-16.6
520,3/20/2014,576,104,Month 4,-84,-26,815,Sunny,-119.2,-14.8
518,3/19/2014,575,104,Month 4,-82,-26,816,Sunny,-115.6,-14.8
517,3/18/2014,574,103,Month 4,-85,-23,817,Sunny,-121,-9.4
516,3/17/2014,573,103,Month 4,-84,-27,819,Sunny,-119.2,-16.6
514,3/16/2014,572,102,Month 4,-85,-27,820,Sunny,-121,-16.6
