ls,bna_min,bna_max,bna_avg,mars_min,mars_max,mars_avg
78,35.29,47.29,41.29,-83.17,-28.5,-55.84
79,28.29,49.29,38.79,-85.43,-27.43,-56.43
80,29,53.29,41.14,-83.67,-27.33,-55.5
81,31.29,52,41.64,-82.86,-28.86,-55.86
82,33.14,54.43,43.78,-84.71,-26.43,-55.57
83,37.43,53.86,45.64,-83.83,-25.33,-54.58
84,33.86,49.86,41.86,-84.43,-25.43,-54.93
85,36,58.71,47.36,-84,-27.17,-55.58
86,37.29,57.86,47.58,-82.75,-27.5,-55.12
87,31.29,48.86,40.08,-83,-24.83,-53.92
88,32.29,53.14,42.72,-83,-26.57,-54.78
89,36.86,53.14,45,-82.67,-27.5,-55.08
90,39.79,56.71,48.25,-82.83,-27.67,-55.25
91,40.57,56.86,48.72,-82.88,-29.12,-56
92,38.43,54.14,46.28,-84,-27,-55.5
93,36.29,52.71,44.5,-84.43,-27.57,-56
94,39.57,56,47.78,-83.67,-25.83,-54.75
95,37.14,55,46.07,-84.17,-28.5,-56.34
96,33.14,53,43.07,-83.25,-26.5,-54.88
97,33.71,46.71,40.21,-84.67,-25.67,-55.17
98,30,45.29,37.64,-85,-25.67,-55.34
99,29.57,43.86,36.72,-85,-27.14,-56.07
100,28.29,45.57,36.93,-84,-26.83,-55.42
101,27.14,43.71,35.42,-83.43,-26.29,-54.86
102,27.29,47,37.14,-84,-26.29,-55.14
103,21.71,45.14,33.42,-83.67,-24.83,-54.25
104,21.86,43.29,32.58,-82.67,-26,-54.34
105,20.14,40.57,30.36,-82.71,-24.29,-53.5
106,18.71,40.57,29.64,-82.5,-23.67,-53.08
107,24.71,45,34.86,-82,-25.67,-53.84
108,35.43,48.57,42,-81.14,-25.29,-53.22
109,35.71,54.71,45.21,-81.86,-25.14,-53.5
110,42.29,58.86,50.58,-82.67,-23.67,-53.17
111,36.14,57.71,46.92,-81.33,-24.67,-53
112,30.71,44.29,37.5,-81.29,-25.14,-53.22
113,29.14,49.14,39.14,-82,-24.83,-53.42
114,30.57,46,38.28,-81,-24.83,-52.92
115,29,48.43,38.72,-82.17,-22.33,-52.25
116,27.86,48.14,38,-80.57,-21.57,-51.07
117,23.86,44.14,34,-80.67,-20.17,-50.42
118,28.57,51.57,40.07,-81.14,-22.43,-51.78
119,38.71,58.86,48.78,-81.83,-21.5,-51.66
120,34,55,44.5,-82.17,-22.67,-52.42
121,32.71,47.57,40.14,-82,-23.33,-52.66
122,28.29,44.43,36.36,-81,-19.33,-50.16
123,24.86,46.43,35.64,-80.71,-20.43,-50.57
124,30.43,52.29,41.36,-80.17,-19.5,-49.84
125,32.57,55.57,44.07,-80.2,-18.4,-49.3
126,31.57,49.14,40.36,-80.2,-18,-49.1
127,28.71,49.57,39.14,-80.33,-19.67,-50
128,30.43,52.14,41.28,-79.33,-18.17,-48.75
129,27.29,55.57,41.43,-79,-19.83,-49.42
130,36.57,58.86,47.72,-79.67,-18.83,-49.25
131,37.43,56.14,46.78,-78.17,-17.83,-48
132,31.57,52.57,42.07,-79.33,-19,-49.16
133,28,49.29,38.64,-79.83,-17.33,-48.58
134,30.43,51,40.72,-78.67,-18.17,-48.42
